Home Member State;Document Type;Prospectus Type;Approval or filing date;Issuer(s) Name / LEI;ISIN;EU Growth prospectus category;Host Member State(s);Last Update Date;Physical Document;Language;More Info;physical_doc_downl_url;file_name
LUXEMBOURG;Base prospectus without Final terms;Base Prospectus;22/04/2025;TDC NET A/S - 549300SH2G3R15Y3FX20;;;;22/04/2025;downloadFile?fileId=40066941&checksum=93612eeae7f958829c53b203f11d2d12;English;details?core=esma_registers_priii_documents&docId=35635821;https://registers.esma.europa.eu/publication/downloadFile?fileId=40066941&checksum=93612eeae7f958829c53b203f11d2d12;TDC_NET_A/S_-_549300SH2G3R15Y3FX20__Base_Prospectus__22-04-2025.pdf
LATVIA;Base prospectus without Final terms;Base Prospectus;22/04/2025;Indemo SPV Issuer No1 SIA - 6488R109SEO6R317YK44;;;GERMANY,SPAIN;22/04/2025;downloadFile?fileId=40067013&checksum=181d4ca99ad13e819356aae890f1d65a;English;details?core=esma_registers_priii_documents&docId=35635881;https://registers.esma.europa.eu/publication/downloadFile?fileId=40067013&checksum=181d4ca99ad13e819356aae890f1d65a;Indemo_SPV_Issuer_No1_SIA_-_6488R109SEO6R317YK44__Base_Prospectus__22-04-2025.pdf
IRELAND;Base prospectus without Final terms;Base Prospectus;17/04/2025;"""AEROPORTI DI ROMA S.P.A"" IN FORMA ABBREVIATA ""ADR S.P.A"" - 8156007259ABDEA3F444";;;;17/04/2025;downloadFile?fileId=40056999&checksum=c3aabee9959c3249da2c9919d4c93585;English;details?core=esma_registers_priii_documents&docId=35632343;https://registers.esma.europa.eu/publication/downloadFile?fileId=40056999&checksum=c3aabee9959c3249da2c9919d4c93585;"""AEROPORTI_DI_ROMA_SPA""_IN_FORMA_ABBREVIATA_""ADR_SPA""_-_8156007259ABDEA3F444__Base_Prospectus__17-04-2025.pdf"
IRELAND;Base prospectus without Final terms;Base Prospectus;17/04/2025;WISDOMTREE MULTI ASSET ISSUER PUBLIC LIMITED COMPANY - 2138003QW2ZAYZODBU23;;;AUSTRIA,BELGIUM,...;17/04/2025;downloadFile?fileId=40057519&checksum=b4553f71fd6ecfdfaa6ae60a2dee67e7;English;details?core=esma_registers_priii_documents&docId=35632791;https://registers.esma.europa.eu/publication/downloadFile?fileId=40057519&checksum=b4553f71fd6ecfdfaa6ae60a2dee67e7;WISDOMTREE_MULTI_ASSET_ISSUER_PUBLIC_LIMITED_COMPANY_-_2138003QW2ZAYZODBU23__Base_Prospectus__17-04-2025.pdf
LUXEMBOURG;Base prospectus without Final terms;Base Prospectus;17/04/2025;EnBW Energie Baden-Württemberg AG - 529900JSFZ4TS59HKD79, EnBW International Finance B.V. - 724500CNCIO1ZTJ0X675;;;AUSTRIA,GERMANY,...;17/04/2025;downloadFile?fileId=40056746&checksum=c0b4cc2ab8f5ff5dbfa35368a15d6c95;English;details?core=esma_registers_priii_documents&docId=35632104;https://registers.esma.europa.eu/publication/downloadFile?fileId=40056746&checksum=c0b4cc2ab8f5ff5dbfa35368a15d6c95;EnBW_Energie_Baden-Württemberg_AG_-_529900JSFZ4TS59HKD79_EnBW_International_Finance_BV_-_724500CNCIO1ZTJ0X675__Base_Prospectus__17-04-2025.pdf
LUXEMBOURG;Base prospectus without Final terms;Base Prospectus;17/04/2025;Raiffeisenbank Austria d.d. - 529900I1UZV70CZRAU55;;;;17/04/2025;downloadFile?fileId=40057115&checksum=178ec2ffd9c938505048947ba52b236b;English;details?core=esma_registers_priii_documents&docId=35632450;https://registers.esma.europa.eu/publication/downloadFile?fileId=40057115&checksum=178ec2ffd9c938505048947ba52b236b;Raiffeisenbank_Austria_dd_-_529900I1UZV70CZRAU55__Base_Prospectus__17-04-2025.pdf
LUXEMBOURG;Base prospectus without Final terms;Base Prospectus;17/04/2025;Deutsche Lufthansa Aktiengesellschaft - 529900PH63HYJ86ASW55;;;AUSTRIA,GERMANY,...;17/04/2025;downloadFile?fileId=40057117&checksum=b1f243791904f28979c2aa3154286f99;English;details?core=esma_registers_priii_documents&docId=35632452;https://registers.esma.europa.eu/publication/downloadFile?fileId=40057117&checksum=b1f243791904f28979c2aa3154286f99;Deutsche_Lufthansa_Aktiengesellschaft_-_529900PH63HYJ86ASW55__Base_Prospectus__17-04-2025.pdf
LUXEMBOURG;Base prospectus without Final terms;Base Prospectus;17/04/2025;J.P. Morgan Structured Products B.V. - XZYUUT6IYN31D9K77X08, JPMORGAN CHASE & CO. - 8I5DZWZKVSZI1NUHU748, JPMORGAN CHASE FINANCIAL COMPANY LLC - 549300NJFDJOFYVV6789, JPMorgan Chase Bank, National Association - 7H6GLXDRUGQFU57RNE97;;;AUSTRIA,BELGIUM,...;17/04/2025;downloadFile?fileId=40057406&checksum=9bcd446a93fdee81afd58881c5821b39;English;details?core=esma_registers_priii_documents&docId=35632737;https://registers.esma.europa.eu/publication/downloadFile?fileId=40057406&checksum=9bcd446a93fdee81afd58881c5821b39;JP_Morgan_Structured_Products_BV_-_XZYUUT6IYN31D9K77X08_JPMORGAN_CHASE_&_CO_-_8I5DZWZKVSZI1NUHU748_JPMORGAN_CHASE_FINANCIAL_COMPANY_LLC_-_549300NJFDJOFYVV6789_JPMorgan_Chase_Bank_National_Association_-_7H6GLXDRUGQFU57RNE97__Base_Prospectus__17-04-2025.pdf
LUXEMBOURG;Base prospectus without Final terms;Base Prospectus;17/04/2025;NATIXIS - KX1WK48MPD4Y2NCUIZ63, Natixis Corporate and Investment Banking Luxembourg - AELIZRVUG3YVEFFUVL97, Natixis Structured Issuance SA - 549300YZ10WOWPBPDW20;;;BELGIUM,CROATIA,...;17/04/2025;downloadFile?fileId=40056867&checksum=4b6dd1c9f8d8d7529db2226a2aa5f3d1;English;details?core=esma_registers_priii_documents&docId=35632223;https://registers.esma.europa.eu/publication/downloadFile?fileId=40056867&checksum=4b6dd1c9f8d8d7529db2226a2aa5f3d1;NATIXIS_-_KX1WK48MPD4Y2NCUIZ63_Natixis_Corporate_and_Investment_Banking_Luxembourg_-_AELIZRVUG3YVEFFUVL97_Natixis_Structured_Issuance_SA_-_549300YZ10WOWPBPDW20__Base_Prospectus__17-04-2025.pdf
LUXEMBOURG;Base prospectus without Final terms;Base Prospectus;17/04/2025;POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI SPÓŁKA AKCYJNA - P4GTT6GF1W40CVIMFR43;;;POLAND;17/04/2025;downloadFile?fileId=40057119&checksum=822e7d7c27264546ade530722198212e;English;details?core=esma_registers_priii_documents&docId=35632454;https://registers.esma.europa.eu/publication/downloadFile?fileId=40057119&checksum=822e7d7c27264546ade530722198212e;POWSZECHNA_KASA_OSZCZĘDNOŚCI_BANK_POLSKI_SPÓŁKA_AKCYJNA_-_P4GTT6GF1W40CVIMFR43__Base_Prospectus__17-04-2025.pdf
IRELAND;Base prospectus without Final terms;Base Prospectus;16/04/2025;Concerto Investment Corporation Limited - 549300LJF2WFSTBO7175, Ensemble Investment Corporation SA - 213800NJ3XBQ6WAELG95;;;AUSTRIA,BULGARIA,...;16/04/2025;downloadFile?fileId=40055055&checksum=efce5d223c13f921d1287db5cb520246;English;details?core=esma_registers_priii_documents&docId=35630807;https://registers.esma.europa.eu/publication/downloadFile?fileId=40055055&checksum=efce5d223c13f921d1287db5cb520246;Concerto_Investment_Corporation_Limited_-_549300LJF2WFSTBO7175_Ensemble_Investment_Corporation_SA_-_213800NJ3XBQ6WAELG95__Base_Prospectus__16-04-2025.pdf
